T,n,y,MSE,Variance,Bias^2,Method
12,21,256,0.17279278896098005,0.023893977939238947,0.14889881102174063,k-NN
12,42,512,0.15924372799250844,0.015521348716704918,0.14372237927580384,k-NN
15,68,1024,0.10232986224862817,0.009126066063743938,0.09320379618488443,k-NN
18,113,2048,0.0696426327830301,0.005811989880644772,0.06383064290238545,k-NN
24,170,4096,0.035913240322645194,0.0024097811506394984,0.03350345917200586,k-NN
27,303,8192,0.030118835704697974,0.00187433577865804,0.028244499926040334,k-NN
33,496,16384,0.01806556839485067,0.0011169604419304323,0.016948607952920386,k-NN
12,21,256,0.09384086672991565,0.008357481312321979,0.08548338541759372,KRR
14,36,512,0.06865917686954716,0.004078947607778738,0.06458022926176821,KRR
20,51,1024,0.03038825241939054,0.001718421231101169,0.02866983118828903,KRR
24,85,2048,0.02225491715981784,0.0007267850646916,0.021528132095126374,KRR
30,136,4096,0.015069443306508922,0.00035947263693667815,0.01470997066957239,KRR
40,204,8192,0.008049480837888024,0.00012284475206859955,0.007926636085819512,KRR
50,327,16384,0.005480404513458041,5.2822242819662804e-05,0.005427582270638363,KRR
12,21,256,0.1576428254406375,0.009328615259937003,0.14831421018070098,KS
12,42,512,0.15305490213744868,0.004964731994402621,0.14809017014304615,KS
15,68,1024,0.09549500853486254,0.0027716798227467704,0.09272332871211586,KS
18,113,2048,0.06775196917258754,0.0014130345624812487,0.06633893461010681,KS
24,170,4096,0.035935210277859085,0.0007582891967423744,0.035176921081116946,KS
27,303,8192,0.028673897645854995,0.0004396059340495966,0.028234291711805283,KS
33,496,16384,0.018178902769193435,0.0002725265125906984,0.01790637625660292,KS
16,16,256,0.09929004865874066,0.00527323755980238,0.09401681109893822,LR
22,22,512,0.048941562987104996,0.0018624137911487128,0.04707914919595671,LR
32,32,1024,0.02359994386809226,0.0005976418082180821,0.02300230205987403,LR
45,45,2048,0.012133003773032239,0.000226133894164608,0.011906869878867573,LR
64,64,4096,0.006096361040879968,7.342904475126071e-05,0.006022931996128864,LR
90,90,8192,0.0032232989894436814,3.172821097162051e-05,0.003191570778472123,LR
128,128,16384,0.0016684770004875727,1.0393883562794588e-05,0.001658083116924783,LR
