T,n,y,MSE,Variance,Bias^2,Method
6,42,256,1.55294813829567,0.27357684634870794,1.2793712919469618,k-NN
6,85,512,1.532133554211495,0.27050225623453983,1.261631297976955,k-NN
9,113,1024,0.8600176592533457,0.17417328340994262,0.6858443758434035,k-NN
9,227,2048,0.8430617705021751,0.10519495136725748,0.7378668191349176,k-NN
9,455,4096,0.7503140038745635,0.10329716775324141,0.6470168361213224,k-NN
15,546,8192,0.27993065979719295,0.03912482775470161,0.24080583204249134,k-NN
15,1092,16384,0.2958566624181641,0.03441586029422848,0.2614408021239354,k-NN
6,42,256,1.1604235395264664,0.039250073771604305,1.1211734657548627,KRR
7,73,512,0.8387070477483763,0.019818918808721407,0.8188881289396552,KRR
10,102,1024,0.38975296247617786,0.010896121914880852,0.37885684056129676,KRR
12,170,2048,0.2878306169975532,0.0068420696383851,0.28098854735916745,KRR
15,273,4096,0.20556284949700693,0.004128352532129107,0.20143449696487742,KRR
20,409,8192,0.12420007798486346,0.0016324221478086116,0.1225676558370548,KRR
25,655,16384,0.08134997040456052,0.0007019437292660391,0.08064802667529436,KRR
6,42,256,1.3457665069263345,0.036668662168698025,1.3090978447576365,KS
6,85,512,1.3242434217259649,0.020948884470531757,1.303294537255433,KS
9,113,1024,0.7283568593468799,0.012672351679689765,0.7156845076671903,KS
9,227,2048,0.7249912753046286,0.007124033665222074,0.7178672416394073,KS
9,455,4096,0.7007852984356522,0.0045745785528392285,0.6962107198828134,KS
12,682,8192,0.412729300780618,0.0025707448576987725,0.4101585559229197,KS
15,1092,16384,0.2699021464829759,0.0014498981200571695,0.2684522483629187,KS
16,16,256,0.2820106444810614,0.02444599217524765,0.25756465230581355,LR
22,22,512,0.1511613166266288,0.008973318384803562,0.14218799824182513,LR
32,32,1024,0.07482009537586536,0.002780569971721379,0.07203952540414396,LR
45,45,2048,0.03946577283872152,0.0009732678046149865,0.038492505034106644,LR
64,64,4096,0.02079716011890523,0.00033877520030956145,0.02045838491859562,LR
90,90,8192,0.011679604739521583,0.00011986127191804586,0.011559743467603495,LR
128,128,16384,0.006619454868646717,4.775157265898772e-05,0.006571703295987713,LR
