T,n,y,MSE,Variance,Bias^2,Method
6,170,1024,0.07082473161585913,0.054914893718623486,0.015909837897235653,k-NN
6,341,2048,0.07441943990252955,0.05829731721887535,0.01612212268365418,k-NN
6,682,4096,0.06906412164358286,0.0541304671956824,0.014933654447900468,k-NN
9,910,8192,0.05197530640437546,0.04336465636515331,0.008610650039222144,k-NN
6,2730,16384,0.05142490094816211,0.041325349279487604,0.010099551668674517,k-NN
6,5461,32768,0.050271811495441965,0.038469756062585805,0.011802055432856177,k-NN
9,7281,65536,0.037118448763287536,0.024906225082143824,0.01221222368114371,k-NN
10,101,1024,0.03429264866761674,0.0227242798723936,0.01156836879522316,KRR
12,161,2048,0.02486222099652537,0.016037145259447022,0.008825075737078358,KRR
16,255,4096,0.01773033439486683,0.013106532475713386,0.004623801919153445,KRR
20,406,8192,0.010196199432912738,0.007913159924097973,0.0022830395088147613,KRR
25,645,16384,0.008533536120554306,0.005522483538842681,0.0030110525817116252,KRR
32,1023,32768,0.0058852540053680414,0.004101777628080378,0.0017834763772876581,KRR
40,1625,65536,0.004361662368274161,0.00306522252186553,0.001296439846408626,KRR
6,170,1024,0.03246793004845822,0.013061132351030732,0.01940679769742752,KS
6,341,2048,0.028482326960785623,0.010066650957781698,0.018415676003003912,KS
6,682,4096,0.025129388755202767,0.007662522630433239,0.017466866124769533,KS
6,1365,8192,0.021940308078792204,0.006565983241934328,0.015374324836857876,KS
6,2730,16384,0.019137443035585212,0.005554009897373964,0.013583433138211226,KS
6,5461,32768,0.019136333156907798,0.004589029859758696,0.014547303297149103,KS
9,7281,65536,0.014590081860522948,0.0031228137184527863,0.011467268142070152,KS
32,32,1024,0.019383184097617877,0.00981853929266351,0.009564644804954373,LR
45,45,2048,0.013450956402695322,0.004632303094830354,0.008818653307864958,LR
64,64,4096,0.011975033165485675,0.0025049891184093214,0.009470044047076385,LR
90,90,8192,0.010930104698265209,0.0014949540506150837,0.009435150647650124,LR
128,128,16384,0.010647584306150372,0.0009599172598812891,0.00968766704626909,LR
181,181,32768,0.010414671979751502,0.0005461755600718296,0.00986849641967966,LR
256,256,65536,0.01011721490192143,0.00034905019151987624,0.009768164710401565,LR
