Run,LR,KRR,KS,KNN
1,0.23,1.33,0.25,0.24
2,0.43,2.29,0.45,0.44
3,0.71,4.79,0.76,0.71
4,1.31,12.71,1.46,1.39
5,2.57,35.33,2.79,2.74
6,5.17,136.67,5.67,5.49
7,10.12,688.34,10.75,10.59
