T,n,y,MSE,Variance,Bias^2,Method
6,170,1024,0.06697389652068592,0.05705431911458354,0.009919577406102352,k-NN
6,341,2048,0.05933972745947286,0.04330710891995111,0.016032618539521714,k-NN
9,455,4096,0.04260505804879051,0.0341680339990638,0.00843702404972672,k-NN
9,910,8192,0.03356505385931964,0.024232825435120446,0.009332228424199215,k-NN
9,1820,16384,0.031627219689479735,0.02379109334478175,0.007836126344697988,k-NN
12,2730,32768,0.024132050585936527,0.019473098951918455,0.004658951634018068,k-NN
12,5461,65536,0.024049527992020772,0.018167694110444547,0.005881833881576215,k-NN
10,101,1024,0.04128428943507438,0.01580452863643355,0.025479760798640828,KRR
12,161,2048,0.024183226135233684,0.011566784349437467,0.012616441785796248,KRR
16,255,4096,0.015838862123035,0.008881970469095725,0.006956891653939279,KRR
20,406,8192,0.009496560400237447,0.005671912965833056,0.003824647434404375,KRR
25,645,16384,0.004656985505239891,0.002963158226349923,0.0016938272788899682,KRR
32,1023,32768,0.0030119988947498884,0.0021636597245552882,0.0008483391701946012,KRR
40,1625,65536,0.002030980644840023,0.001211260945061429,0.0008197196997785967,KRR
6,170,1024,0.03623563501766309,0.022600562893401413,0.013635072124261679,KS
6,341,2048,0.03310518387729602,0.01545625040908952,0.01764893346820649,KS
9,455,4096,0.022124292301270665,0.012870370180289123,0.009253922120981552,KS
9,910,8192,0.02155589738358516,0.011853174165697613,0.009702723217887541,KS
9,1820,16384,0.015417734672611804,0.007449429837905848,0.007968304834705942,KS
12,2730,32768,0.011288982475502906,0.006244713804081484,0.005044268671421425,KS
12,5461,65536,0.010195960251729417,0.004847643240992758,0.005348317010736659,KS
32,32,1024,0.01673184995461366,0.009933554513496626,0.006798295441117032,LR
45,45,2048,0.009588444124868289,0.005270405721659835,0.004318038403208447,LR
64,64,4096,0.00726908377573839,0.002361978472022777,0.004907105303715605,LR
90,90,8192,0.00555689979022807,0.0014376353589233286,0.0041192644313047515,LR
128,128,16384,0.004497250492113926,0.000917936283903956,0.0035793142082099724,LR
181,181,32768,0.004563006699408947,0.0005067286433348602,0.0040562780560740915,LR
256,256,65536,0.004038694268814946,0.00028733685180172476,0.0037513574170131977,LR
