Run,LR,KRR,KS,KNN
1,0.22,0.76,0.25,0.22
2,0.39,1.3,0.38,0.43
3,0.71,2.69,0.7,0.68
4,1.28,6.93,1.37,1.34
5,2.52,18.84,2.71,2.65
6,5.01,70.07,5.26,5.23
7,9.96,346.84,10.5,10.35
