Linear Basis Function,n,Quadratic Basis Function,Cubic Basis Function
-5.901259224207355,1024,-5.455189508655752,-4.919167099490508
-6.704487550278116,2048,-6.554951032171276,-6.362461414869282
-7.104010752085245,4096,-7.771490778787244,-7.88015867343522
-7.4915040608294285,8192,-8.307771899894414,-8.60370268388863
-7.79674104182349,16384,-9.005400190722066,-9.357281781404662
-7.7757995127113135,32768,-9.031201853290307,-9.749473872743817
-7.951895347226923,65536,-9.464120936838611,-10.342840251235092
