Linear Basis Function,n,Quadratic Basis Function,Cubic Basis Function
-6.108194963998556,1024,-6.789415328763006,-6.199234704456776
-6.640817683063011,2048,-8.081282082226053,-7.218392423890757
-7.160109897836454,4096,-9.227517168882006,-8.278960805314268
-7.516155250981955,8192,-9.918839256302197,-9.162553502790898
-7.731275790136033,16384,-10.803463681660165,-10.598431095881692
-7.969818114959766,32768,-11.171330393963277,-11.441616421173709
-8.097018778117318,65536,-11.422503846853237,-12.20617725872422
