Linear Basis Function,n,Quadratic Basis Function,Cubic Basis Function
-5.689050606404718,1024,-5.100628402127058,-3.523204344929943
-6.216147433470844,2048,-6.408090141472237,-5.429568486905978
-6.383826538187762,4096,-7.544034099933298,-6.8705171368725715
-6.51554896928233,8192,-8.172193740479353,-7.960973095739833
-6.5533300367746135,16384,-8.670300204654417,-8.722912136167105
-6.5852387887675725,32768,-9.140661994310776,-9.597120814294833
-6.627043994622522,65536,-9.368697748281978,-9.968575120032321
