T,n,y,MSE,Variance,Bias^2,Method
3,5461,16384,2.3316476172742235,0.9072395313763795,1.4244080858978443,k-NN
3,10922,32768,2.31185647786315,0.9055294287843965,1.4063270490787534,k-NN
3,21845,65536,2.3126390819880465,0.8848605887078931,1.427778493280153,k-NN
3,43690,131072,2.346075094851168,0.9282902642461207,1.4177848306050476,k-NN
3,87381,262144,2.3305032248305384,0.9397504529634889,1.3907527718670494,k-NN
50,327,16384,1.0786918818647915,0.00252652902571145,1.07616535283908,KRR
62,528,32768,1.0398299630418357,0.002686524404858423,1.0371434386369773,KRR
80,819,65536,0.986127509357266,0.006627458633133805,0.9795000507241325,KRR
100,1310,131072,0.9461227188881663,0.005663292310778834,0.9404594265773878,KRR
126,2080,262144,0.8920204790838813,0.007822318479643514,0.8841981606042375,KRR
3,5461,16384,1.4177579683411476,0.0005170674077898904,1.4172409009333575,KS
3,10922,32768,1.4167956097746934,0.00026589016094585974,1.4165297196137474,KS
3,21845,65536,1.417358724715195,0.00014269867304940115,1.4172160260421456,KS
3,43690,131072,1.4166478685427544,6.987693620351661e-05,1.4165779916065508,KS
3,87381,262144,1.4170815284064513,3.6233910775860515e-05,1.4170452944956753,KS
128,128,16384,1.8147253161661803,0.9220527895311101,0.8926725266350695,LR
181,181,32768,1.0591508962798173,0.21401159327667738,0.8451393030031394,LR
256,256,65536,0.8708717310514128,0.07910294331226325,0.7917687877391495,LR
362,362,131072,0.7616168309403779,0.03462130300888192,0.7269955279314962,LR
512,512,262144,0.6873060625948374,0.015949567505322417,0.6713564950895149,LR
