T,n,y,MSE,Variance,Bias^2,Method
3,5461,16384,0.8644589157051673,0.4318965566220111,0.4325623590831561,k-NN
3,10922,32768,0.820383214386331,0.40511731206027335,0.41526590232605765,k-NN
3,21845,65536,0.8490338546390874,0.4177978868485163,0.4312359677905711,k-NN
3,43690,131072,0.8213713110669909,0.40178046148446367,0.4195908495825272,k-NN
3,87381,262144,0.8560963925732505,0.41411191830681704,0.44198447426643367,k-NN
50,327,16384,0.10452717820934933,0.006318488370879245,0.09820868983847009,KRR
62,528,32768,0.07752686522565827,0.004941786818236674,0.0725850784074216,KRR
80,819,65536,0.05881296901996875,0.002858235932371489,0.055954733087597276,KRR
100,1310,131072,0.04284128542229962,0.0017783535341588425,0.04106293188814079,KRR
126,2080,262144,0.031598100887050624,0.0010885844909604909,0.030509516396090154,KRR
3,5461,16384,0.4255609835572236,0.0003053401416074775,0.42525564341561617,KS
3,10922,32768,0.42534682626972653,0.00017648149698009887,0.4251703447727464,KS
3,21845,65536,0.4252487694450609,8.728408317611763e-05,0.42516148536188475,KS
3,43690,131072,0.42548442137856946,4.8083256167547176e-05,0.42543633812240184,KS
3,87381,262144,0.4251818646570542,2.5903337462804722e-05,0.4251559613195914,KS
128,128,16384,0.04890391943079827,0.017067875851596723,0.03183604357920154,LR
181,181,32768,0.027906744871146482,0.007090607527486623,0.020816137343659863,LR
256,256,65536,0.01901085436814891,0.003953977660762828,0.015056876707386091,LR
362,362,131072,0.013353259120696943,0.0014724135451235514,0.011880845575573385,LR
512,512,262144,0.010472157012783891,0.000731711198801783,0.00974044581398211,LR
